timestamp,suhu,kelembapan,cahaya,hujan
2026-01-09 19:13:48.993477,27.6,89,4095,0
2026-01-09 19:13:54.017094,28,88,4095,0
2026-01-09 19:13:59.320286,28,89,4095,0
2026-01-09 19:14:04.073109,28.5,90,4095,0
2026-01-09 19:14:09.090633,28.5,91,4095,0
2026-01-09 19:14:14.111936,28.9,92,4095,0
2026-01-09 19:14:19.393844,28.9,92,4095,0
2026-01-09 19:14:24.179393,29.3,92,4095,0
2026-01-09 19:14:29.189921,29.3,92,4095,0
2026-01-09 19:14:34.223923,29.8,93,4095,0
2026-01-09 19:14:39.487295,30.2,92,4095,0
2026-01-09 19:14:44.293980,31.3,93,4095,0
2026-01-09 19:14:49.319961,31.8,93,4095,0
2026-01-09 19:14:54.338202,32.3,94,4095,0
2026-01-09 19:14:59.636711,32.8,94,4095,0
2026-01-09 19:15:04.383853,33.3,93,4095,0
2026-01-09 19:15:09.401186,33.3,93,4095,0
2026-01-09 19:15:14.425628,34.2,94,4095,0
2026-01-09 19:15:21.876919,34.2,94,4095,0
2026-01-09 19:15:24.481969,34.2,94,4095,0
2026-01-09 19:15:29.530867,33.8,93,4095,0
2026-01-09 19:15:34.529199,33.3,93,4095,0
2026-01-09 19:15:41.045667,32.3,94,4095,0
2026-01-09 19:15:44.591065,31.8,94,4095,0
2026-01-09 19:15:49.699977,31.3,94,4095,0
2026-01-09 19:15:54.642844,30.8,94,4095,0
2026-01-09 19:16:00.143711,30.2,94,4095,0
2026-01-09 19:16:04.688646,29.8,95,4095,0
2026-01-09 19:16:09.711357,29.8,95,4095,0
2026-01-09 19:16:14.744420,29.3,94,4095,0
2026-01-09 19:16:20.019690,29.3,94,4095,0
2026-01-09 19:16:24.789814,29.3,94,4095,0
2026-01-09 19:16:29.817267,29.3,94,4095,0
2026-01-09 19:16:34.836046,28.9,94,4095,0
2026-01-09 19:16:40.086209,28.9,94,4095,0
2026-01-09 19:16:44.913353,28.9,93,4095,0
2026-01-09 19:16:49.924625,28.9,93,4095,0
2026-01-09 19:16:54.969518,28.9,93,4095,0
2026-01-09 19:17:00.257552,28.9,93,4095,0
2026-01-09 19:17:05.001342,28.9,93,4095,0
2026-01-09 19:17:10.035565,28.9,93,4095,0
2026-01-09 19:17:15.074220,28.9,93,4095,0
2026-01-09 19:17:20.321273,28.9,93,4095,0
2026-01-09 19:17:25.101624,28.9,92,4095,0
2026-01-09 19:17:30.127842,28.9,92,4095,0
2026-01-09 19:17:35.158734,28.9,92,4095,0
2026-01-09 19:17:40.401233,28.9,92,4095,0
2026-01-09 19:17:45.222482,28.9,92,4095,0
2026-01-09 19:17:50.233643,28.5,91,4095,0
2026-01-09 19:17:55.268993,28.5,91,4095,0
2026-01-09 19:18:00.552038,28.5,91,4095,0
2026-01-09 19:18:05.318087,28.5,89,4095,0
2026-01-09 19:18:10.337994,28,89,4095,0
2026-01-09 19:18:15.361868,28,88,4095,0
2026-01-09 19:18:20.654317,28,88,4095,0
2026-01-09 19:18:25.423842,27.6,88,4095,0
2026-01-09 19:18:30.440814,27.6,86,4095,0
2026-01-09 19:18:35.474041,27.6,85,4095,1
2026-01-09 19:18:40.751748,27.1,85,4095,1
2026-01-09 19:18:45.540659,27.1,84,4095,1
2026-01-09 19:18:50.552759,26.7,82,4095,1
2026-01-09 19:18:55.574543,26.7,81,4095,1
